seed,alpha,item,depth,stem,correct,wrong,cold,warm,mismatched,coldB,warmB,mismB
0,0.0,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.6085333824157715,-1.6085333824157715,-1.6085333824157715,18.264219445642084,18.264219445642084,18.264219445642084
0,0.0,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.44397687911987305,-0.44397687911987305,-0.44397687911987305,16.24125651270151,16.24125651270151,16.24125651270151
0,0.0,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.5169720649719238,0.5169720649719238,0.5169720649719238,18.008236235938966,18.008236235938966,18.008236235938966
0,0.0,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.32012033462524414,-0.32012033462524414,-0.32012033462524414,17.442753924056888,17.442753924056888,17.442753924056888
0,0.0,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.5288300514221191,1.5288300514221191,1.5288300514221191,16.52787968260236,16.52787968260236,16.52787968260236
0,0.0,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.2862138748168945,1.2862138748168945,1.2862138748168945,18.5708364257589,18.5708364257589,18.5708364257589
0,0.0,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.6292634010314941,0.6292634010314941,0.6292634010314941,17.151886554202065,17.151886554202065,17.151886554202065
0,0.0,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,0.035562992095947266,0.035562992095947266,0.035562992095947266,16.69963419949636,16.69963419949636,16.69963419949636
0,0.0,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.6167798042297363,0.6167798042297363,0.6167798042297363,18.796805952792056,18.796805952792056,18.796805952792056
0,0.0,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.47223424911499023,0.47223424911499023,0.47223424911499023,19.273172526387498,19.273172526387498,19.273172526387498
0,0.0,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.48714637756347656,0.48714637756347656,0.48714637756347656,22.544630022370256,22.544630022370256,22.544630022370256
0,0.0,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.43382787704467773,-0.43382787704467773,-0.43382787704467773,18.311755734845065,18.311755734845065,18.311755734845065
0,0.25,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.6085333824157715,-1.439864158630371,-1.4594159126281738,18.264219445642084,20.84640653897077,20.234299310017377
0,0.25,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.44397687911987305,-0.42108726501464844,-0.34264564514160156,16.24125651270151,17.290351792937145,17.082121673272923
0,0.25,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.5169720649719238,0.788853645324707,0.6371536254882812,18.008236235938966,19.191590580856428,18.757870006375015
0,0.25,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.32012033462524414,-0.3390007019042969,-0.28789329528808594,17.442753924056888,18.136347376625054,18.382451090263203
0,0.25,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.5288300514221191,1.4713716506958008,1.2495527267456055,16.52787968260236,17.40662338002585,17.38543877657503
0,0.25,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.2862138748168945,1.3912296295166016,1.2731447219848633,18.5708364257589,19.364798923488706,19.21697049587965
0,0.25,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.6292634010314941,0.7240567207336426,0.9091525077819824,17.151886554202065,17.004917656304315,17.295362332370132
0,0.25,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,0.035562992095947266,0.23110675811767578,0.05776262283325195,16.69963419949636,17.60519518284127,17.315857598092407
0,0.25,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.6167798042297363,0.537254810333252,0.5854477882385254,18.796805952792056,19.393187486100942,19.506193321663886
0,0.25,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.47223424911499023,0.39832496643066406,0.4369664192199707,19.273172526387498,19.647829723311588,19.64782412198838
0,0.25,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.48714637756347656,0.7294631004333496,0.4777393341064453,22.544630022370256,22.71084945416078,22.52638250554446
0,0.25,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.43382787704467773,-0.3307056427001953,-0.3667788505554199,18.311755734845065,19.23473497433588,18.97152856993489
0,0.5,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.6085333824157715,-1.3328509330749512,-1.4116981029510498,18.264219445642084,19.76496506901458,20.21751030604355
0,0.5,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.44397687911987305,-0.33461952209472656,-0.4631986618041992,16.24125651270151,17.29946715873666,16.769335336284712
0,0.5,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.5169720649719238,1.0097661018371582,0.9646949768066406,18.008236235938966,18.844154889928177,19.107884790282696
0,0.5,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.32012033462524414,-0.11688709259033203,-0.2929096221923828,17.442753924056888,18.44585285685025,18.496554139070213
0,0.5,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.5288300514221191,1.7906274795532227,1.2175464630126953,16.52787968260236,17.728662556037307,16.883340099127963
0,0.5,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.2862138748168945,1.4222593307495117,1.2296996116638184,18.5708364257589,18.992846600711346,18.687494137790054
