seed,condition,facts,item,depth,ntok,logprob_per_token
0,cold,A,0,0.0,34,-1.5198388833532055
0,cold,A,1,0.0106,22,-2.1764658455609935
0,cold,A,2,0.0182,27,-1.9741161271985792
0,cold,A,3,0.0283,18,-0.025133651269647492
0,cold,A,4,0.0362,29,-1.2398388044856457
0,cold,A,5,0.0532,16,-2.5001684885355644
0,cold,A,6,0.0599,15,-1.1676809328297775
0,cold,A,7,0.066,28,-1.6093257734651811
0,cold,A,8,0.0755,26,-1.9094835348839228
0,cold,A,9,0.0853,54,-0.4329986539093448
0,cold,A,10,0.1065,54,-2.1720847165496604
0,cold,A,11,0.1237,63,-2.6888374064546374
0,cold,A,12,0.1405,27,-2.99485289650814
0,cold,A,13,0.1504,36,-1.4979731924310424
0,cold,A,14,0.1623,14,-3.4832616980586733
0,cold,A,15,0.1749,19,-1.5441714022798758
0,cold,A,16,0.1817,41,-2.297215806592892
0,cold,A,17,0.2042,21,-2.800256626192658
0,cold,A,18,0.2112,35,-1.7879970973623651
0,cold,A,19,0.2196,31,-2.381337538921094
0,cold,A,20,0.2334,24,-3.144730470259674
0,cold,A,21,0.2408,19,-4.187776021144696
0,cold,A,22,0.2584,66,-2.5395115317087127
0,cold,A,23,0.2754,33,-3.723549817364211
0,cold,A,24,0.286,48,-3.678591035048157
0,cold,A,25,0.3019,18,-2.5533508178260593
0,cold,A,26,0.323,17,-0.560302501609412
0,cold,A,27,0.3326,38,-2.174453993396846
0,cold,A,28,0.3434,19,-2.5369828962904744
0,cold,A,29,0.3507,30,-2.5853372947856164
0,cold,A,30,0.3583,24,-2.2851517470553517
0,cold,A,31,0.3668,13,-1.2314640613129506
0,cold,A,32,0.3731,31,-2.6644968332069356
0,cold,A,33,0.3965,15,-3.1552999009688696
0,cold,A,34,0.4033,16,-2.6756141113583
0,cold,A,35,0.4088,24,-2.964322009361543
0,cold,A,36,0.4165,13,-4.624391471214879
0,cold,A,37,0.4221,26,-3.317465957200441
0,cold,A,38,0.4324,18,-2.031043690163642
0,cold,A,39,0.4529,18,-3.6769122500748685
0,cold,A,40,0.4607,26,-1.5197069868003241
0,cold,A,41,0.4673,20,-1.9273803175838111
0,cold,A,42,0.477,27,-2.108153782526238
0,cold,A,43,0.4927,23,-2.9845611200789395
0,cold,A,44,0.5017,18,-4.105348431815703
0,cold,A,45,0.5092,43,-2.6149573677475293
0,cold,A,46,0.5215,36,-3.2805607337504625
0,cold,A,47,0.5335,23,-2.6844616250499436
0,cold,A,48,0.5601,30,-1.4474301176596782
0,cold,A,49,0.5686,15,-2.3273795437843847
0,cold,A,50,0.5758,43,-2.128904207966962
0,cold,A,51,0.5889,26,-1.751860800351446
0,cold,A,52,0.5968,31,-1.6086450394216099
0,cold,A,53,0.6192,11,-4.606915698810057
0,cold,A,54,0.6269,40,-1.7063013107162988
0,cold,A,55,0.6437,53,-2.1798806429470923
0,cold,A,56,0.6571,21,-1.8231510446473425
0,cold,A,57,0.6644,15,-1.5231259920828355
0,cold,A,58,0.6801,16,-1.9922353187575936
0,cold,A,59,0.6867,15,-2.1933363899278144
0,cold,A,60,0.6932,23,-2.2113423453664165
0,cold,A,61,0.7029,23,-3.210624727865924
0,cold,A,62,0.7113,18,-0.5124222014872228
0,cold,A,63,0.7182,20,-2.7235609831754117
0,cold,A,64,0.7263,17,-2.708154447157593
0,cold,A,65,0.7367,28,-0.2205417002418731
0,cold,A,66,0.7458,22,-1.2783079314240653
0,cold,A,67,0.7541,49,-1.7293230686041263
0,cold,A,68,0.7678,22,-2.143076790476202
0,cold,A,69,0.7764,17,-1.6771229514304329
0,cold,A,70,0.7854,18,-2.1721980517031625
0,cold,A,71,0.7938,43,-2.8935205785017515
0,cold,A,72,0.8141,22,-4.167345965916121
0,cold,A,73,0.8296,17,-3.529728923650349
0,cold,A,74,0.8376,33,-1.7214473472435423
0,cold,A,75,0.8589,11,-1.562891187992963
0,cold,A,76,0.8798,16,-2.4942189168650657
0,cold,A,77,0.8924,25,-2.616373806078918
0,cold,A,78,0.9024,36,-2.241624444902603
0,cold,A,79,0.9142,31,-1.1545455194587233
0,cold,A,80,0.9298,25,-2.7995572929643093
0,cold,A,81,0.9463,24,-2.1666091219479617
0,cold,A,82,0.9581,20,-1.4367788688745349
